source_row_id,record_id,chemical_key,facility_id,location_status,coordinate_status,rejection_reason,has_cbi_location,has_cbi_volume
1307,cdr:1307,CASRN:7758987,REDACTED_RECORD:1307,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1308,cdr:1308,CASRN:6834920,REDACTED_RECORD:1308,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1309,cdr:1309,CASRN:13598362,REDACTED_RECORD:1309,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1310,cdr:1310,CASRN:7487889,REDACTED_RECORD:1310,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1311,cdr:1311,CASRN:598629,REDACTED_RECORD:1311,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1336,cdr:1336,CASRN:3089176,REDACTED_RECORD:1336,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1337,cdr:1337,CASRN:3089176,REDACTED_RECORD:1337,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1338,cdr:1338,CASRN:3089176,REDACTED_RECORD:1338,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1339,cdr:1339,CASRN:3089176,REDACTED_RECORD:1339,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1340,cdr:1340,CASRN:3089176,REDACTED_RECORD:1340,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1341,cdr:1341,CASRN:3089176,REDACTED_RECORD:1341,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1342,cdr:1342,CASRN:1047161,REDACTED_RECORD:1342,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
